Fre	Mag	Pha	Times
2187	3187.30	1187.30	63
3870	4869.89	2869.89	63
2133	3133.00	1133.00	65
2093	3092.80	1092.80	66
2003	3002.79	1002.79	67
2013	3013.12	1013.12	67
3695	4695.10	2695.10	14
3604	4603.51	2603.51	19
3677	4676.61	2676.61	19
2093	3092.80	1092.80	20
2038	3037.57	1037.57	21
2832	3831.78	1831.78	69
2015	3014.75	1014.75	21
3999	4999.17	2999.17	21
2035	3034.96	1034.96	22
3953	4952.66	2952.66	22
2095	3095.27	1095.27	22
2894	3894.47	1894.47	70
3885	4885.25	2885.25	22
3841	4841.25	2841.25	22
2808	3808.04	1808.04	70
2274	3274.15	1274.15	23
3885	4885.25	2885.25	68
3695	4695.10	2695.10	23
3734	4734.37	2734.37	68
2274	3274.15	1274.15	68
2337	3336.98	1336.98	68
2136	3135.93	1135.93	68
3695	4695.10	2695.10	68
2405	3404.88	1404.88	69
2477	3477.32	1477.32	69
3485	4484.92	2484.92	69
3630	4629.67	2629.67	68
3791	4790.83	2790.83	68
3630	4629.67	2629.67	23
2405	3404.88	1404.88	23
3953	4952.66	2952.66	67
2035	3034.96	1034.96	67
2477	3477.32	1477.32	23
3319	4318.65	2318.65	71
2663	3662.86	1662.86	24
2746	3746.35	1746.35	24
2832	3831.78	1831.78	24
2950	3950.47	1950.47	24
3149	4148.89	2148.89	25
3400	4400.19	2400.19	25
3506	4505.88	2505.88	25
2436	3436.14	1436.14	26
3648	4648.24	2648.23	26
3771	4770.82	2770.82	72
3870	4869.89	2869.89	72
3383	4383.36	2383.36	28
3463	4462.54	2462.54	28
2356	3356.22	1356.22	28
2432	3431.91	1431.91	28
3677	4676.61	2676.61	28
3733	4733.03	2733.03	29
2133	3133.00	1133.00	29
3794	4794.39	2794.39	29
2826	3826.03	1826.03	27
2065	3064.96	1064.96	29
3973	4973.37	2973.37	30
3992	4991.79	2991.79	30
2003	3002.79	1002.79	30
3979	4978.88	2978.88	31
2095	3095.27	1095.27	31
3841	4841.25	2841.25	31
3791	4790.83	2790.83	32
2062	3061.53	1061.53	31
3734	4734.37	2734.37	32
2098	3098.33	1098.33	72
3538	4538.19	2538.19	74
2337	3336.98	1336.98	32
3000	4000.00	2000.00	72
2913	3912.68	1912.68	73
3131	4130.77	2130.77	73
2826	3826.03	1826.03	73
3215	4214.93	2214.93	73
2741	3740.71	1740.71	73
3298	4297.52	2297.52	73
3383	4383.36	2383.36	73
2657	3657.37	1657.37	73
2580	3580.19	1580.19	73
3463	4462.54	2462.54	73
3044	4043.70	2043.70	72
2499	3499.16	1499.16	73
2432	3431.91	1431.91	74
2356	3356.22	1356.22	74
3677	4676.61	2676.61	74
3604	4603.51	2603.51	74
3630	4629.67	2629.67	32
2405	3404.88	1404.88	32
2292	3291.86	1291.86	74
3559	4559.43	2559.43	32
2477	3477.32	1477.32	32
